m_age,m_race,m_birth,m_count,m_fert
15-19 years,American Indian or Alaska Native,"3,299","159,008",20.75
15-19 years,Asian,"1,901","571,890",3.32
15-19 years,Black or African American,"41,524","1,564,616",26.54
15-19 years,Native Hawaiian or Other Pacific Islander,754,"28,402",26.55
15-19 years,White,"124,443","7,546,949",16.49
15-19 years,More than one race,"7,950","451,448",17.61
15-19 years,Total,"179,871","10,322,313",17.43
20-24 years,American Indian or Alaska Native,"9,804","159,561",61.44
20-24 years,Asian,"16,583","663,434",25
20-24 years,Black or African American,"150,163","1,657,650",90.59
20-24 years,Native Hawaiian or Other Pacific Islander,"3,229","29,504",109.44
20-24 years,White,"519,696","7,758,993",66.98
20-24 years,More than one race,"26,700","402,890",66.27
20-24 years,Total,"726,175","10,672,032",68.04
25-29 years,American Indian or Alaska Native,"11,247","165,794",67.84
25-29 years,Asian,"60,832","836,997",72.68
25-29 years,Black or African American,"181,032","1,854,585",97.61
25-29 years,Native Hawaiian or Other Pacific Islander,"3,713","33,621",110.44
25-29 years,White,"814,058","8,297,949",98.1
25-29 years,More than one race,"28,609","353,972",80.82
25-29 years,Total,"1,099,491","11,542,918",95.25
30-34 years,American Indian or Alaska Native,"7,642","147,133",51.94
30-34 years,Asian,"100,101","868,548",115.25
30-34 years,Black or African American,"135,111","1,607,398",84.06
30-34 years,Native Hawaiian or Other Pacific Islander,"2,840","32,956",86.18
30-34 years,White,"822,296","8,005,729",102.71
30-34 years,More than one race,"22,707","282,383",80.41
30-34 years,Total,"1,090,697","10,944,147",99.66
35-39 years,American Indian or Alaska Native,"3,657","141,379",25.87
35-39 years,Asian,"59,498","850,855",69.93
35-39 years,Black or African American,"73,312","1,559,292",47.02
35-39 years,Native Hawaiian or Other Pacific Islander,"1,478","31,379",47.1
35-39 years,White,"416,983","7,938,130",52.53
35-39 years,More than one race,"11,858","252,362",46.99
35-39 years,Total,"566,786","10,773,397",52.61
40-44 years,American Indian or Alaska Native,762,"127,978",5.95
40-44 years,Asian,"12,594","788,061",15.98
40-44 years,Black or African American,"17,538","1,415,876",12.39
40-44 years,Native Hawaiian or Other Pacific Islander,358,"26,262",13.63
40-44 years,White,"83,643","7,352,455",11.38
40-44 years,More than one race,"2,486","206,259",12.05
40-44 years,Total,"117,381","9,916,891",11.84
